,label,userID
0,0,U9107
1,1,U6926
2,0,U9579
3,0,U9998
4,0,U2007
5,0,U8249
6,1,U9919
7,1,U10276
8,1,U5022
9,1,U8629
10,1,U3677
11,1,U9492
12,1,U7541
13,1,U7553
14,1,U8910
15,1,U9684
16,1,U9992
17,1,U8640
18,1,U10239
19,1,U6238
20,1,U4006
21,1,U4721
22,1,U9863
23,1,U10339
24,1,U1188
25,1,U6108
26,1,U5359
27,1,U9948
28,1,U6895
29,1,U4622
30,1,U353
31,1,U9987
32,1,U1988
33,1,U9575
34,1,U9318
35,1,U9329
36,1,U5086
37,1,U9660
38,0,U3594
39,0,U9528
40,0,U8486
41,1,U9889
42,0,U9054
43,0,U10181
44,1,U3575
45,0,U8919
46,0,U10049
47,1,U5469
48,0,U9793
49,0,U8694
50,0,U4647
51,1,U9878
52,0,U9886
53,0,U9593
54,0,U9520
55,0,U8042
56,1,U4423
57,0,U10189
58,0,U9158
59,0,U9999
60,1,U9076
61,0,U9648
62,1,U2529
63,0,U9995
64,0,U7219
65,1,U8433
66,0,U9132
67,0,U8071
68,0,U8241
69,0,U3976
70,1,U8923
71,0,U8798
72,1,U6667
73,0,U2485
74,0,U934
75,0,U10180
76,1,U5986
77,0,U9657
78,1,U1678
79,1,U2844
80,0,U9119
81,0,U8680
82,1,U7869
83,0,U4326
84,0,U10368
85,1,U7755
86,0,U8896
87,0,U9540
88,0,U5779
89,1,U7104
90,0,U9656
91,1,U9490
92,0,U5613
93,0,U9811
94,0,U9157
95,0,U8790
96,1,U8233
97,0,U3612
98,1,U8607
99,0,U6919
100,0,U9088
101,1,U3289
102,0,U1479
103,0,U9278
104,1,U9729
105,0,U8804
106,1,U6098
107,0,U9751
108,0,U4641
109,0,U6740
110,1,U9168
111,0,U9973
112,1,U7446
113,0,U10256
114,0,U3802
115,0,U8565
116,0,U2287
117,1,U8700
118,1,U8785
119,0,U10006
120,0,U9161
121,0,U5376
122,0,U8545
123,1,U6426
124,1,U9449
125,0,U111
126,0,U9306
127,0,U9030
128,1,U7551
